,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
234556,Chad,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,37.56,37.56,,D
238221,Channel Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
241886,Chile,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.12,99.10,0.22,A
245551,China,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.25,99.25,0.55,A
249216,Colombia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.01,97.97,0.12,B
252881,Comoros,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,75.88,75.88,6.08,D
256546,"Congo, Dem. Rep.","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,74.69,74.69,12.60,D
260211,"Congo, Rep.","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,80.91,80.91,,C
263876,Costa Rica,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.37,98.37,1.07,B
267541,Cote d'Ivoire,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,54.52,54.52,8.78,D
271206,Croatia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.72,99.72,,A
274871,Cuba,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.87,99.87,,A
278536,Curacao,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
282201,Cyprus,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.82,99.82,,A
285866,Czech Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
289531,Denmark,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
293196,Djibouti,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
296861,Dominica,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
300526,Dominican Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,96.83,97.02,0.63,C
304191,Ecuador,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.84,98.63,1.40,B
307856,"Egypt, Arab Rep.","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,87.73,87.51,3.04,C
311521,El Salvador,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,95.61,95.96,1.21,C
315186,Equatorial Guinea,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.13,97.13,,B
318851,Eritrea,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,86.97,86.97,,C
322516,Estonia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.86,99.86,0.13,A
326181,Ethiopia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,49.79,49.79,7.34,D
329846,Faroe Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
333511,Fiji,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
337176,Finland,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
340841,France,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
344506,French Polynesia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
348171,Gabon,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,88.50,88.50,,C
351836,"Gambia, The","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,56.67,56.67,5.81,D
