,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
542416,Mali,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,43.42,44.30,4.23,D
546081,Malta,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.57,98.57,0.44,B
549746,Marshall Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.46,98.46,,B
553411,Mauritania,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,58.73,58.73,3.69,D
557076,Mauritius,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,96.33,96.33,2.54,C
560741,Mexico,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.15,98.41,0.65,B
564406,"Micronesia, Fed. Sts.","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
568071,Moldova,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.49,99.49,0.05,A
571736,Monaco,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
575401,Mongolia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.09,98.09,0.53,B
579066,Montenegro,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.21,99.21,,A
582731,Morocco,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,82.52,80.49,5.99,C
586396,Mozambique,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,67.15,67.15,,D
590061,Myanmar,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,94.59,94.59,,C
593726,Namibia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,90.76,90.76,5.18,C
597391,Nauru,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
601056,Nepal,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,84.76,84.76,,C
604721,Netherlands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
608386,New Caledonia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
612051,New Zealand,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
615716,Nicaragua,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,87.01,87.01,,C
619381,Niger,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,30.04,30.04,9.21,D
623046,Nigeria,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,66.38,66.38,,D
626711,Northern Mariana Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
