,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
606016,New Caledonia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
609681,New Zealand,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,28.56,29.01,2.37,C
613346,Nicaragua,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
617011,Niger,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,479.26,447.19,82.20,A
620676,Nigeria,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
624341,Northern Mariana Islands,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
628006,Norway,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,43.54,43.73,3.57,B
631671,Oman,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,27.48,27.48,19.22,C
635336,Pakistan,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,74.43,74.43,,B
639001,Palau,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
642666,Panama,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,23.07,19.55,6.73,C
646331,Papua New Guinea,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
649996,Paraguay,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,30.70,22.42,17.14,C
653661,Peru,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,10.21,10.12,0.99,D
657326,Philippines,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,11.00,10.48,2.08,D
660991,Poland,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,19.50,19.37,2.39,D
664656,Portugal,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,27.39,26.78,2.48,C
668321,Puerto Rico,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,36.04,36.04,,B
671986,Qatar,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
675651,Romania,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,22.05,21.92,1.95,C
